Repeat.New,Species,Metal.Band,Color.bands,TempMarker,Date,Time,Age,HA,Sex,HS,Wing,Weight,Location,Bander,Fat,CP,BP,Ectos,Wear,Net.Location,Comments,Tarsus,Exp.Culmen,Culmen.Nares,Culmen.Width,Culmen.Depth,Tail,Hg.Blood.ID,Hg.Tail.ID,Hg.Secondaries.ID,ToanailID,individual
1,BITH,153148002,R-WY/DBX,NA,NA,1600,1,1,0,NA,91,28.5,PUVI,CCR,5,9,9,NA,1, 1 I.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,BITH _ 153148002,,
1,OVEN,213158607,NA,NA,12/2/1995,830,0,NA,0,NA,70,19.5,PUVI,KPM,0,0,0,NA,1,1I,NA,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158607,,
1,OVEN,213158418,NA,NA,12/2/1995,720,2,9,0,NA,75,19.8,PUVI,JFC,5,0,0,NA,3,2-Jan,9=RECT,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158418,,
2,BITH,123140012,LBY/LGX,NA,12/2/1995,700,2,9,4,9,92,29.1,PUVI,KPM,5,0,0,NA,2,1.C,NA,NA,NA,NA,NA,NA,NA,NA,NA,BITH _ 123140012,,
1,BITH,148127618,BK-OX/YLB,NA,12/2/1995,710,1,1,0,NA,85,24.5,PUVI,CCR,0,0,0,NA,1, 1.F,NA,NA,NA,NA,NA,NA,NA,NA,NA,BITH _ 148127618,,
2,BITH,153148002,R-WY/DBX,NA,12/2/1995,820,1,19,0,NA,91.5,26.6,PUVI,CCR,0,0,0,NA,1, 1 I.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,BITH _ 153148002,,
1,BTBW,205084848,NA,NA,12/3/1995,1720,0,NA,5,1,59,9.1,PUVI,CCR,5,0,0,NA,1,1B.25,HY TAIL,NA,NA,NA,NA,NA,NA,NA,NA,BTBW _ 205084848,,
1,OVEN,213158608,NA,NA,12/3/1995,1500,0,NA,0,NA,71,19.3,PUVI,CCR,5,0,0,NA,1,1A.25E6,AHY,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158608,,
1,OVEN,213158509,NA,NA,12/3/1995,840,2,9,0,NA,74,NA,PUVI,KPM,0,0,0,NA,2,5A,NA,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158509,,
1,OVEN,213158419,NA,NA,12/3/1995,800,2,NA,0,NA,73,18.6,PUVI,JFC,5,0,0,NA,1,3E,9=RECT,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158419,,
