"Year","Location","Session","Species","spp.ann.tot","net.hours","notes"
1997,"PALO",1,"AMRE",1,743.1,""
1997,"PALO",1,"HIEM",3,743.1,""
1997,"PALO",1,"RLTH",2,743.1,""
1997,"PALO",1,"BCPT",2,743.1,""
1997,"PALO",1,"GTGT",5,743.1,""
1997,"PALO",1,"HIPK",0,743.1,""
1997,"PALO",1,"SSHA",2,743.1,""
1997,"PALO",1,"BTBW",2,743.1,""
1997,"PALO",1,"HIPE",3,743.1,""
1997,"PALO",1,"WEWA",0,743.1,""
1997,"PALO",1,"GAEL",1,743.1,""
1997,"PALO",1,"MYWA",0,743.1,""
1997,"PALO",1,"GRCA",0,743.1,""
1997,"PALO",1,"NBTO",6,743.1,""
1997,"PALO",1,"HHTA",10,743.1,""
1997,"PALO",1,"BAWW",0,743.1,""
1997,"PALO",1,"HILC",0,743.1,""
1997,"PALO",1,"RNPI",0,743.1,""
1997,"PALO",1,"BITH",7,743.1,""
1997,"PALO",1,"RTSO",10,743.1,""
1997,"PALO",1,"HITR",0,743.1,""
1997,"PALO",1,"HIWO",2,743.1,""
1997,"PALO",1,"COYE",0,743.1,""
1997,"PALO",1,"GABU",1,743.1,""
1997,"PALO",1,"LATH",0,743.1,""
1997,"PALO",1,"PIWA",0,743.1,""
1997,"PALO",1,"WCHT",10,743.1,""
1997,"PALO",1,"BANA",0,743.1,""
1997,"PALO",1,"OVEN",8,743.1,""
1997,"PALO",1,"HISP",4,743.1,""
1997,"PALO",1,"BFGR",11,743.1,""
1997,"PALO",1,"KEWA",0,743.1,""
1997,"PALO",1,"WFQD",0,743.1,""
1997,"PALO",1,"SWWA",0,743.1,""
1997,"PUVI",1,"AMRE",1,1136.8,""
1997,"PUVI",1,"BCPT",4,1136.8,""
1997,"PUVI",1,"BITH",2,1136.8,""
1997,"PUVI",1,"MYWA",0,1136.8,""
1997,"PUVI",1,"LATH",1,1136.8,""
1997,"PUVI",1,"GAEL",0,1136.8,""
1997,"PUVI",1,"NBTO",5,1136.8,""
