"Location","Species","Year","Session","spp.ann.tot","net.hours","notes","yrs.obs","max.obs","min.obs"
"PALO","AMRE",1997,1,1,743.1,"",0,1,0
"PALO","AMRE",2009,1,0,1105,"",0,1,0
"PALO","AMRE",2001,1,NA,0,"",0,1,0
"PALO","AMRE",2005,1,0,895.8,"",0,1,0
"PALO","AMRE",2000,1,NA,0,"",0,1,0
"PALO","AMRE",2010,1,0,1095,"",0,1,0
"PALO","AMRE",2003,1,0,995,"",0,1,0
"PALO","AMRE",2008,1,0,591.5,"",0,1,0
"PALO","AMRE",2004,1,0,971.5,"",0,1,0
"PALO","AMRE",2002,1,0,941,"",0,1,0
"PALO","AMRE",2007,1,0,1085.8,"",0,1,0
"PALO","AMRE",1998,1,0,921,"",0,1,0
"PALO","AMRE",2006,1,0,674.8,"",0,1,0
"PALO","BANA",2001,1,NA,0,"",0,0,0
"PALO","BANA",2003,1,0,995,"",0,0,0
"PALO","BANA",1997,1,0,743.1,"",0,0,0
"PALO","BANA",2010,1,0,1095,"",0,0,0
"PALO","BANA",2009,1,0,1105,"",0,0,0
"PALO","BANA",2006,1,0,674.8,"",0,0,0
"PALO","BANA",2000,1,NA,0,"",0,0,0
"PALO","BANA",2007,1,0,1085.8,"",0,0,0
"PALO","BANA",1998,1,0,921,"",0,0,0
"PALO","BANA",2008,1,0,591.5,"",0,0,0
"PALO","BANA",2005,1,0,895.8,"",0,0,0
"PALO","BANA",2002,1,0,941,"",0,0,0
"PALO","BANA",2004,1,0,971.5,"",0,0,0
"PALO","BAWW",2003,1,0,995,"",1,2,0
"PALO","BAWW",2001,1,NA,0,"",1,2,0
"PALO","BAWW",2005,1,0,895.8,"",1,2,0
"PALO","BAWW",2000,1,NA,0,"",1,2,0
"PALO","BAWW",1998,1,0,921,"",1,2,0
"PALO","BAWW",2010,1,1,1095,"",1,2,0
"PALO","BAWW",2002,1,1,941,"",1,2,0
"PALO","BAWW",2004,1,0,971.5,"",1,2,0
"PALO","BAWW",2007,1,0,1085.8,"",1,2,0
"PALO","BAWW",1997,1,0,743.1,"",1,2,0
"PALO","BAWW",2006,1,0,674.8,"",1,2,0
"PALO","BAWW",2009,1,2,1105,"",1,2,0
"PALO","BAWW",2008,1,1,591.5,"",1,2,0
"PALO","BCPT",2007,1,3,1085.8,"",7,4,0
"PALO","BCPT",2005,1,4,895.8,"",7,4,0
"PALO","BCPT",2009,1,0,1105,"",7,4,0
"PALO","BCPT",1998,1,2,921,"",7,4,0
"PALO","BCPT",2000,1,NA,0,"",7,4,0
"PALO","BCPT",2004,1,3,971.5,"",7,4,0
"PALO","BCPT",2010,1,0,1095,"",7,4,0
"PALO","BCPT",2006,1,1,674.8,"",7,4,0
"PALO","BCPT",1997,1,2,743.1,"",7,4,0
"PALO","BCPT",2008,1,2,591.5,"",7,4,0
"PALO","BCPT",2002,1,1,941,"",7,4,0
"PALO","BCPT",2001,1,NA,0,"",7,4,0
"PALO","BCPT",2003,1,2,995,"",7,4,0
"PALO","BFGR",2009,1,0,1105,"",1,11,0
"PALO","BFGR",2002,1,0,941,"",1,11,0
"PALO","BFGR",2000,1,NA,0,"",1,11,0
"PALO","BFGR",2004,1,0,971.5,"",1,11,0
"PALO","BFGR",1998,1,0,921,"",1,11,0
"PALO","BFGR",2007,1,0,1085.8,"",1,11,0
"PALO","BFGR",2005,1,0,895.8,"",1,11,0
"PALO","BFGR",2006,1,1,674.8,"",1,11,0
"PALO","BFGR",2010,1,0,1095,"",1,11,0
"PALO","BFGR",1997,1,11,743.1,"",1,11,0
"PALO","BFGR",2008,1,0,591.5,"",1,11,0
"PALO","BFGR",2003,1,1,995,"",1,11,0
"PALO","BFGR",2001,1,NA,0,"",1,11,0
"PALO","BITH",2005,1,6,895.8,"",11,7,2
"PALO","BITH",2002,1,4,941,"",11,7,2
"PALO","BITH",2004,1,2,971.5,"",11,7,2
"PALO","BITH",2001,1,NA,0,"",11,7,2
"PALO","BITH",2000,1,NA,0,"",11,7,2
"PALO","BITH",2010,1,5,1095,"",11,7,2
"PALO","BITH",1997,1,7,743.1,"",11,7,2
"PALO","BITH",2006,1,5,674.8,"",11,7,2
"PALO","BITH",2003,1,2,995,"",11,7,2
"PALO","BITH",2009,1,7,1105,"",11,7,2
"PALO","BITH",2008,1,5,591.5,"",11,7,2
"PALO","BITH",2007,1,5,1085.8,"",11,7,2
"PALO","BITH",1998,1,5,921,"",11,7,2
"PALO","BTBW",2006,1,5,674.8,"",10,8,1
"PALO","BTBW",2001,1,NA,0,"",10,8,1
"PALO","BTBW",2003,1,5,995,"",10,8,1
"PALO","BTBW",2009,1,4,1105,"",10,8,1
"PALO","BTBW",2007,1,8,1085.8,"",10,8,1
"PALO","BTBW",2004,1,4,971.5,"",10,8,1
"PALO","BTBW",2002,1,2,941,"",10,8,1
"PALO","BTBW",2000,1,NA,0,"",10,8,1
"PALO","BTBW",2008,1,5,591.5,"",10,8,1
"PALO","BTBW",2005,1,1,895.8,"",10,8,1
"PALO","BTBW",2010,1,2,1095,"",10,8,1
"PALO","BTBW",1997,1,2,743.1,"",10,8,1
"PALO","BTBW",1998,1,2,921,"",10,8,1
"PALO","COYE",1998,1,0,921,"",0,1,0
"PALO","COYE",2006,1,0,674.8,"",0,1,0
"PALO","COYE",2000,1,NA,0,"",0,1,0
"PALO","COYE",2001,1,NA,0,"",0,1,0
"PALO","COYE",1997,1,0,743.1,"",0,1,0
"PALO","COYE",2009,1,1,1105,"",0,1,0
"PALO","COYE",2010,1,0,1095,"",0,1,0
"PALO","COYE",2005,1,0,895.8,"",0,1,0
"PALO","COYE",2007,1,0,1085.8,"",0,1,0
