i.lloyd,spp,Fig,ord.in.txt.,best.mod,model,B.yr,CI.lo.yr,CI.hi.yr,p.yr,B.site,CI.lo.site,CI.hi.site,p.site,B.yrXsite,CI.lo.X,CI.hi.X,p.X,R2,comments
10,RTSO,Fig1,1,add,add,-0.04,-0.076,-0.001,0.04,,,,,,,,,0.3,site sig but not reported  not interaction
25,GTGT,Fig2,2,add,add,-0.07,-0.092,-0.04,<0.001,,,,,,,,,0.76,site sig but not reported  not interaction
31,GABU,Fig3,3,add,add,-0.05,-0.097,-0.009,0.02,,,,,,,,,0.47,site sig but not reported  not interaction
24,HHTA,Fig4,4,mult,mult,-0.23,-0.35,-0.12,<0.001,-418.8,-687.1,168.3,0.001,0.21,0.084,0.344,0.001,0.38,
24,HHTA,Fig4,4,mult,drop.1997.Q,-0.05,-0.12,0.02,12,,,,,,,,,,
28,WCHT,Fig5,5,mult,mult,-0.1,-0.173,-0.026,0.008,-245.1,-440.2,-52.8,0.013,0.122,0.026,0.22,0.001,0.3,
28,WCHT,Fig5,5,mult,drop.1997.Q,,,,>0.05,,,,,,,,,,
5,NBTO,none,6,null.or.site,Q,0.02,-0.017,0.058,0.3,,,,,,,,,,
27,BCPT,none,7,null.or.site,Q,-0.028,-0.079,0.025,0.3,,,,,,,,,,
29,HISP,none,8,null.or.site,Q,0.009,-0.04,0.061,0.72,,,,,,,,,,
11,BITH,none,9,null.or.site,Q,-0.003,-0.003,-0.042,0.87,,,,,,,,,,
15,OVEN,none,10,null.or.site,Q,0.004,-0.029,0.039,0.78,,,,,,,,,,
22,BTBW,none,11,null.or.site,Q,0.013,-0.038,0.065,0.633,,,,,,,,,,
