Species,Date,Wing,Weight,Location,Fat
BITH,NA,91,28.5,PUVI,5
OVEN,12/2/1995,70,19.5,PUVI,0
OVEN,12/2/1995,75,19.8,PUVI,5
BITH,12/2/1995,92,29.1,PUVI,5
BITH,12/2/1995,85,24.5,PUVI,0
BITH,12/2/1995,91.5,26.6,PUVI,0
BTBW,12/3/1995,59,9.1,PUVI,5
OVEN,12/3/1995,71,19.3,PUVI,5
OVEN,12/3/1995,74,NA,PUVI,0
OVEN,12/3/1995,73,18.6,PUVI,5
BITH,12/3/1995,89,29.1,PUVI,0
BITH,12/3/1995,93,27.4,PUVI,5
BITH,12/3/1995,86,26,PUVI,1
BTBW,12/4/1995,62,8.5,PUVI,0
OVEN,12/4/1995,76,19.6,PUVI,0
OVEN,12/4/1995,71,19.2,PUVI,1
OVEN,12/4/1995,75,19.7,PUVI,0
OVEN,12/4/1995,70.5,18.1,PUVI,5
OVEN,12/4/1995,76,21.1,PUVI,5
OVEN,12/4/1995,70,18.3,PUVI,0
OVEN,12/4/1995,72.5,18.2,PUVI,5
OVEN,12/4/1995,72,18.6,PUVI,0
BITH,12/4/1995,91.5,28.9,PUVI,5
OVEN,12/5/1995,77,20.3,PUVI,5
OVEN,12/5/1995,72,21.3,PUVI,5
OVEN,12/5/1995,71,19,PUVI,5
OVEN,12/5/1995,75.5,18.5,PUVI,NA
OVEN,12/5/1995,69,18.9,PUVI,5
OVEN,12/5/1995,74,21.4,PUVI,5
BITH,12/5/1995,85,26.5,PUVI,5
BITH,12/5/1995,93,29.3,PUVI,1
BITH,12/5/1995,88.5,25.5,PUVI,5
BITH,12/6/1995,96.5,26.7,PALO,0
BFGR,12/9/1996,52.5,10.5,PUVI,0
GTGT,12/9/1996,60,14,PUVI,5
GTGT,12/9/1996,63.5,14.5,PUVI,5
GTGT,12/9/1996,64,13,PUVI,5
GTGT,12/9/1996,62,13.5,PUVI,5
GTGT,12/9/1996,61,NA,PUVI,0
GTGT,12/9/1996,65,14.4,PUVI,5
GTGT,12/9/1996,62,NA,PUVI,5
GTGT,12/9/1996,62,14.1,PUVI,5
GTGT,12/9/1996,63,12.5,PUVI,NA
GTGT,12/9/1996,64,15.5,PUVI,NA
GTGT,12/9/1996,63,13.9,PUVI,0
GTGT,12/9/1996,66,14.5,PUVI,NA
GTGT,12/9/1996,61,NA,PUVI,5
NBTO,12/9/1996,47.5,6.5,PUVI,5
OVEN,12/9/1996,75.5,20.6,PUVI,0
OVEN,12/9/1996,72,19.4,PUVI,5
OVEN,12/9/1996,76,19.1,PUVI,5
OVEN,12/9/1996,75.5,21.3,PUVI,1
RTSO,12/9/1996,85,29.1,PUVI,5
HHTA,12/9/1996,60.5,12,PUVI,5
BAWW,12/10/1996,67.5,10.3,PUVI,5
BCPT,12/10/1996,90,29.6,PUVI,5
GABU,12/10/1996,65,20.6,PUVI,1
GABU,12/10/1996,72,24.8,PUVI,5
GABU,12/10/1996,68.5,23.7,PUVI,5
GABU,12/10/1996,73.5,24.7,PUVI,5
GAEL,12/10/1996,71,9.5,PUVI,5
GTGT,12/10/1996,65,15,PUVI,5
GTGT,12/10/1996,60,14.5,PUVI,5
GTGT,12/10/1996,65,15.4,PUVI,5
GTGT,12/10/1996,64.5,15.9,PUVI,1
GTGT,12/10/1996,62.5,12.9,PUVI,5
GTGT,12/10/1996,64.5,15,PUVI,5
HIEM,12/10/1996,NA,4.2,PUVI,NA
HITR,12/10/1996,139,74.1,PUVI,0
HITR,12/10/1996,134,76.8,PUVI,0
NBTO,12/10/1996,47,7.5,PUVI,5
OVEN,12/10/1996,73.5,19.4,PUVI,5
OVEN,12/10/1996,73,18.2,PUVI,NA
OVEN,12/10/1996,75.5,20.3,PUVI,NA
OVEN,12/10/1996,74,21.4,PUVI,1
RLTH,12/10/1996,121,69.7,PUVI,0
RTSO,12/10/1996,91,30.8,PUVI,0
HISP,12/10/1996,75.5,25.7,PUVI,5
